Y,ANA,ARI,ATL,BAL,BOS,CHA,CHN,CIN,CLE,COL,DET,HOU,KCA,LAN,MIA,MIL,MIN,NYA,NYN,OAK,PHI,PIT,SDN,SEA,SFN,SLN,TBA,TEX,TOR,WAS
2001,0.3498116760828625,0.3310810810810811,0.3427703134996801,0.3380754475703325,0.3387806411062225,0.3529136072488674,0.3329652996845426,0.34104137171621834,0.36374789142769515,0.35748642358417376,0.3396880415944541,0.3572538055296676,0.34470348928180256,0.336984126984127,0.3276527331189711,0.3227079059491873,0.33375594294770206,0.3516327496450544,0.3430066603235014,0.3574091332712022,0.3267104630668162,0.3362204724409449,0.32708796443315336,0.3585992217898833,0.35937989351706856,0.35332176108568725,0.3267646583750606,0.3493862134088763,0.3392828936976781,0.32363041700735895
2002,0.3238645482266089,0.33845179673895837,0.3217320261437909,0.3157126641803146,0.33174072304507085,0.330625507717303,0.3340387432850399,0.3207850707850708,0.34654088050314463,0.3495693030540329,0.3168911244523771,0.34374504518788646,0.3154579227911484,0.32081911262798635,0.3232290484681472,0.31645156020258125,0.3330654235653432,0.33066837224176526,0.32027949301267467,0.3431786216596343,0.3263956114875766,0.3101728723404255,0.3329630217425805,0.35701050030883263,0.33986518263050636,0.33583183966107216,0.3167895167895168,0.3414519906323185,0.32196669310071374,0.31554447215295095
2003,0.33781008058145046,0.34317929172621886,0.32929586563307495,0.30557827580566005,0.34177016192422577,0.3346222007410988,0.31894329896907214,0.327325394271001,0.31897116644823065,0.3343065693430657,0.29853015712113534,0.33542168674698797,0.31976182813002896,0.3179143510951291,0.3335997442455243,0.3175809649702578,0.32903641637125364,0.3521501172791243,0.3189374185136897,0.3372443316949421,0.3364011424944462,0.31732047872340424,0.31865284974093266,0.3463529411764706,0.3423193491784974,0.33553373047818386,0.31093926212340905,0.33692551505546753,0.32485604606525914,0.3312883435582822
2004,0.32420609202851586,0.32432432432432434,0.34300421151146465,0.31760406736574515,0.3563813585135547,0.3266461737582915,0.31688896030853286,0.31107569721115536,0.3110576923076923,0.33860009480170644,0.2939542483660131,0.33076074972436603,0.3298362740422826,0.2974130828802109,0.32542101042502003,0.32277478618942035,0.33563254428593825,0.3525502318392581,0.30752688172043013,0.32373290426387774,0.3374079297915687,0.33108001886495836,0.32787146038816417,0.3392405063291139,0.33221153846153845,0.34290981717621755,0.314950589735416,0.32654350228959417,0.345943410973894,0.3204357015119493
2005,0.3341724354940214,0.30499918580035823,0.33768686073957516,0.337956541840037,0.3561643835616438,0.3273485091375441,0.32162632494858406,0.3261007285397529,0.3427480916030534,0.33746081504702197,0.33012769982658047,0.33349183705817087,0.31679819616685456,0.3253854713082181,0.32311168495803744,0.3151563753007217,0.32597382116385426,0.3482602590107661,0.312289697163916,0.33995686999383856,0.34001233045622686,0.314736499674691,0.33706095448102064,0.32461059190031155,0.34968476087959405,0.3376439047468853,0.3146103896103896,0.3252858958068615,0.3243330118932819,0.3065326633165829
2006,0.319814042962488,0.32616543713702717,0.3267868641339343,0.32226720647773277,0.35353535353535354,0.31633311814073595,0.31848983543078413,0.33286207979893184,0.32963197969543145,0.3261734287987271,0.3166073162835869,0.3155339805825243,0.3131707317073171,0.32063543524071975,0.3322673488967061,0.32536348949919225,0.31794871794871793,0.35069767441860467,0.31522793404461685,0.3272035510462904,0.34252153484729836,0.31769415532425943,0.3265241488519398,0.3130704041720991,0.31230542356218255,0.3317972350230415,0.32351513189836545,0.32670454545454547,0.3272785213511791,0.31443798449612403
2007,0.32929357359272843,0.3257421077430501,0.33090332805071315,0.3343949044585987,0.3467181467181467,0.33658076681332494,0.312621359223301,0.32949163245974106,0.34405043341213554,0.33223889931207007,0.32455858747993577,0.3239171374764595,0.3265468426912677,0.3425233644859813,0.3246628131021195,0.32106969205834684,0.3419375398342894,0.35761487628707544,0.3272325654780688,0.33660700142562966,0.3415304719718955,0.32087525954320395,0.3267467594056276,0.320025550942191,0.31904529956161715,0.33146786056923566,0.30836065573770494,0.3354510800508259,0.3455647734524569,0.3313338595106551
2008,0.33936,0.3148991541964867,0.3347384855581577,0.328943192637258,0.3571318188842528,0.31345715216682957,0.32778570296401965,0.32898869346733667,0.33853110868548264,0.3465648854961832,0.3406747891283974,0.3234738829452486,0.31582339671285853,0.3308544303797468,0.3296772171732999,0.3227243793761935,0.32506443298969073,0.360590832952642,0.33375,0.3340621583632672,0.3479914790018259,0.3191489361702128,0.31680050385766023,0.3317346123101519,0.3166239590006406,0.331306990881459,0.33044027142180843,0.32241048593350385,0.3231090412718805,0.31865492393915135
2009,0.32483870967741935,0.32059961315280466,0.3394251796313652,0.3291240409207161,0.35379117464263515,0.3281773241907192,0.3478735005452563,0.3141940657578188,0.3338595106550908,0.3270529125451405,0.33678756476683935,0.31750985545335086,0.314410480349345,0.3264946305497676,0.3221616420782553,0.319949214410411,0.33432601880877744,0.3374642516682555,0.33426704014939307,0.3141607258587168,0.3259904912836767,0.313874386964088,0.3125,0.31413865208299824,0.31506627869382475,0.3435745477230193,0.33511306532663315,0.34849180829888227,0.3257867694283879,0.3174220507875281
2010,0.3432203389830508,0.3182537171781082,0.3312411737015534,0.3291300877893057,0.3474523288527665,0.32421495629653607,0.3259589368136241,0.3102230781575991,0.33427539645156223,0.33465629464994445,0.32552581261950286,0.313838550247117,0.3138852672750978,0.3381462505822077,0.3340676632572777,0.33490937746256894,0.33859375,0.357098860486603,0.3271555197421434,0.3235480799746112,0.3281641604010025,0.3131976362442548,0.3140562248995984,0.30874228144296395,0.30376211598488584,0.3257685498149042,0.3374145333121323,0.3151062794093786,0.32848882637912175,0.3303260525482748
