Y,ANA,ARI,ATL,BAL,BOS,CHA,CHN,CIN,CLE,COL,DET,HOU,KCA,LAN,MIA,MIL,MIN,NYA,NYN,OAK,PHI,PIT,SDN,SEA,SFN,SLN,TBA,TEX,TOR,WAS
2001,0.4686288332745858,0.4263384836507366,0.4235823582358236,0.43145665773011616,0.4209782800635705,0.46594101123595505,0.4087344028520499,0.4437984496124031,0.465748649119749,0.448263828302216,0.4336143308746048,0.4711213790652213,0.4214818670831164,0.4264307636757537,0.4042705903463126,0.40007131395970763,0.40264550264550264,0.4462691895751517,0.42557803468208094,0.45423668215945656,0.39538655613624074,0.42083040112596765,0.3982521847690387,0.43800757985923117,0.4685251798561151,0.4507781397032211,0.3964272825694695,0.4431158783189731,0.46638655462184875,0.42772596843615496
2002,0.40092741216336725,0.4384533522525718,0.40878683782317843,0.375519797504972,0.43557522123893805,0.44498644986449865,0.42647328804846707,0.41374424371236274,0.4533875818149655,0.4765042483093463,0.4034649044472227,0.44665234514858576,0.40569020021074814,0.42193711601011924,0.41796385757738413,0.4228612769035992,0.42773333333333335,0.4307528409090909,0.383191141768016,0.43534022087638047,0.4096646231518211,0.38942925307395854,0.3951933501987712,0.44122776421346355,0.4569911504424779,0.43684018929741536,0.38370423546302945,0.4664804469273743,0.42465034965034965,0.39190432382704693
2003,0.42854650148316176,0.4183324329191428,0.4067245119305857,0.39866690686362816,0.4397823033707865,0.44478472347324804,0.4090909090909091,0.4037626628075253,0.4082677885494787,0.41843334531081566,0.37736890524379024,0.41382421945497205,0.3932082216264522,0.40632820879513765,0.3986681065514759,0.3866422689844465,0.43306107954545453,0.4514356611130805,0.3905378665227559,0.4289544235924933,0.41751929635612994,0.3773760715616847,0.3778536760740608,0.41441761363636365,0.438685208596713,0.4208535926526202,0.38529515729939906,0.4531443755535872,0.4259292192779655,0.4139551699204628
2004,0.40489810511262064,0.4094599364631133,0.4670824670824671,0.3978178039487357,0.48551345791188066,0.439217094630993,0.40712513293158453,0.38581560283687943,0.39383259911894275,0.4371332029165926,0.366857551896922,0.4231378763866878,0.4175901495162709,0.35994246673858327,0.4106666666666667,0.4101431348294752,0.4238318568698975,0.4476559746210786,0.36625137412971787,0.4129416005767844,0.41230714665720875,0.41078620206618804,0.3808423671583437,0.404043987229514,0.41648706896551724,0.4435636739617439,0.39756521739130435,0.448263828302216,0.4501489398983704,0.39307609087630724
2005,0.42026234035208837,0.38640397586084485,0.4263771186440678,0.42256410256410254,0.4668279198341396,0.448722498225692,0.44836578581363007,0.41072701354240915,0.43239533287577214,0.44312423554080027,0.4395259672359707,0.4248307801923762,0.3905251951738822,0.41431095406360424,0.3973580863977151,0.37967436035068886,0.4230635031402652,0.45081967213114754,0.4010647737355812,0.4280532043530834,0.43459327643267726,0.3919642857142857,0.4068454481298518,0.3888888888888889,0.4270870024656569,0.4493927125506073,0.39767233661593554,0.45117015660742565,0.3983217282628102,0.3823791688960228
2006,0.40164220824598185,0.4116816657843656,0.42701252236135956,0.4275066548358474,0.44978858350951373,0.4164155291614962,0.4315068493150685,0.4387142352525609,0.4456140350877193,0.4005281690140845,0.42059030217849613,0.3984975854051154,0.38647686832740213,0.3879653053848934,0.40053333333333335,0.41465610370903855,0.38458819370802405,0.443781792667953,0.40665598861007296,0.40235749472202675,0.4150575730735164,0.39406255522177064,0.3828916948248266,0.3857858933046903,0.3873163740594769,0.4135192375573597,0.41759603469640644,0.46435385949696445,0.4023008849557522,0.3756955663256148
2007,0.4179550245959241,0.41639116060553333,0.44639718804920914,0.41713483146067415,0.43000351741118537,0.45636300417246173,0.412784588441331,0.4231384396658966,0.4497716894977169,0.42017099982551037,0.4423278573925201,0.39816610827014637,0.40273636204174706,0.4251528384279476,0.42595229619081526,0.4119559328156041,0.4187192118226601,0.45426032409827494,0.43447669305189096,0.40640172630821797,0.4393363290701694,0.3891634309918814,0.4090188479830897,0.41694150321124807,0.41399103139013455,0.42339139708496265,0.4124932687129779,0.4414651244304241,0.45897572213361687,0.4078549848942598
2008,0.40536277602523657,0.4007551240560949,0.4245234415249871,0.40309135116359845,0.43304195804195805,0.39603960396039606,0.41161178509532065,0.42354368932038833,0.4165361183637946,0.4233390119250426,0.448058583106267,0.40142435296161194,0.3767784999121728,0.3944223107569721,0.4363542026980284,0.4427320490367776,0.3814834483979465,0.4524338172502135,0.4164657251119532,0.3986652616789603,0.44522423827456353,0.3999650227352221,0.4010788237341221,0.4152892561983471,0.3773352132534367,0.3936413138942561,0.421455938697318,0.4153360238638358,0.410869180385909,0.3794319985888164
2009,0.4032087447108604,0.40287253141831236,0.3981191222570533,0.4194967446771072,0.4374344634743097,0.43819432198906716,0.4307129161582709,0.39612582192998047,0.41427312775330394,0.4002784545770971,0.4352511733008865,0.40468945766959014,0.38614206128133705,0.3880148488598197,0.4230085348506401,0.4198486714763329,0.39542876782952396,0.4190425906370996,0.40856300918703414,0.3619167717528373,0.42551687577310476,0.39181488516663787,0.3805682216766047,0.38094411662617145,0.372473193882932,0.42147048671039006,0.41236568610181434,0.4506298944501192,0.3888888888888889,0.36421838876044815
2010,0.4287441699775436,0.40643581671913254,0.39258870826778536,0.40850989318858344,0.4437389770723104,0.40250671441360786,0.3962364636960767,0.3812643881707101,0.4066222845129643,0.4240800285816363,0.40644820295983086,0.3897849462365591,0.3973768167316554,0.3986837547627295,0.40391334730957373,0.4143285689077113,0.41683991683991684,0.46711664935964003,0.3800921006021962,0.38728828356905887,0.4352304469273743,0.37779379956741166,0.36909025787965616,0.3919774806474314,0.3784740662064082,0.4032,0.42849491162292447,0.43450592186671383,0.431446757268192,0.39507703205241723
